CellID	x	y	geneID	MIDCount
1	1705	1271	Maoa	1.0
1	1711	1229	Maoa	1.0
1	1708	1224	Txndc5	1.0
1	1726	1206	Txndc5	1.0
1	1724	1320	Slc12a2	1.0
1	1707	1258	Krt7	1.0
1	1697	1255	Krt7	1.0
1	1703	1243	Tspan13	1.0
1	1697	1279	Tspan13	1.0
1	1699	1206	Tspan13	1.0
1	1792	1242	Sox4	1.0
1	1704	1296	Sox4	1.0
1	1709	1244	Maged2	1.0
1	1701	1277	Maged2	1.0
1	1761	1201	Maged2	1.0
1	1767	1294	Maged2	1.0
1	1757	1304	Net1	1.0
1	1715	1250	Ccnl2	1.0
1	1725	1337	Ccnl2	1.0
1	1719	1330	Neat1	1.0
1	1699	1244	Neat1	1.0
1	1726	1333	Neat1	1.0
1	1695	1250	Neat1	1.0
1	1715	1203	Neat1	1.0
1	1723	1335	Neat1	1.0
1	1737	1217	Stmn1	1.0
1	1704	1290	Vim	1.0
1	1714	1249	Vim	1.0
1	1696	1308	Vim	1.0
1	1753	1245	Vim	1.0
1	1756	1263	Vim	1.0
1	1689	1333	Vim	1.0
1	1709	1280	Vim	1.0
1	1691	1309	Vim	1.0
1	1752	1201	Vim	1.0
1	1751	1203	Vim	1.0
1	1701	1338	Acta2	1.0
1	1716	1331	Acta2	1.0
1	1724	1313	Acta2	1.0
1	1745	1204	Acta2	1.0
1	1763	1251	Acta2	1.0
1	1768	1304	Acta2	1.0
1	1777	1217	Acta2	1.0
1	1780	1304	Acta2	1.0
1	1783	1229	Acta2	1.0
1	1785	1281	Acta2	1.0
1	1785	1245	Acta2	1.0
1	1792	1298	Acta2	1.0
1	1703	1338	Acta2	1.0
1	1707	1332	Acta2	1.0
1	1715	1324	Acta2	1.0
1	1718	1312	Acta2	1.0
1	1748	1210	Acta2	1.0
1	1761	1252	Acta2	1.0
1	1768	1302	Acta2	1.0
1	1777	1218	Acta2	1.0
1	1782	1269	Acta2	1.0
1	1781	1301	Acta2	1.0
1	1784	1244	Acta2	1.0
1	1787	1280	Acta2	1.0
1	1798	1239	Acta2	1.0
1	1802	1275	Acta2	1.0
1	1706	1332	Acta2	1.0
1	1713	1310	Acta2	1.0
1	1717	1321	Acta2	1.0
1	1731	1291	Acta2	1.0
1	1734	1267	Acta2	1.0
1	1748	1325	Acta2	1.0
1	1756	1275	Acta2	1.0
