CellID	x	y	geneID	MIDCount
2	1725	1922	Maoa	1.0
2	1753	1863	Maoa	1.0
2	1760	1865	Maoa	1.0
3	1904	794	Maoa	1.0
4	1915	1430	Maoa	1.0
2	1751	1873	Maoa	1.0
2	1780	1844	Maoa	1.0
5	1816	995	Maoa	1.0
6	1822	1232	Maoa	1.0
7	1880	1322	Maoa	1.0
9	1652	1923	Maoa	1.0
2	1735	1870	Maoa	1.0
2	1802	1843	Maoa	1.0
11	1886	998	Maoa	1.0
12	1928	1095	Maoa	1.0
15	1589	1814	Maoa	1.0
2	1788	1906	Maoa	1.0
2	1767	1898	Maoa	1.0
11	1835	926	Hmgb2	1.0
11	1835	938	Hmgb2	1.0
17	1557	1641	Txndc5	1.0
2	1780	1873	Txndc5	1.0
11	1814	944	Txndc5	1.0
6	1828	1217	Txndc5	1.0
20	1834	1856	Txndc5	1.0
21	1682	1382	Txndc5	1.0
2	1745	1806	Txndc5	1.0
11	1807	943	Txndc5	1.0
11	1841	942	Txndc5	1.0
22	1860	1635	Txndc5	1.0
2	1755	1807	Txndc5	1.0
23	1773	1016	Txndc5	1.0
6	1800	1252	Txndc5	1.0
20	1837	1852	Txndc5	1.0
20	1866	1828	Txndc5	1.0
3	1935	872	Txndc5	1.0
17	1519	1667	Txndc5	1.0
24	1578	1572	Txndc5	1.0
25	1740	1633	Txndc5	1.0
6	1814	1233	Txndc5	1.0
23	1877	1070	Txndc5	1.0
17	1554	1606	Txndc5	1.0
15	1566	1798	Txndc5	1.0
11	1795	922	Txndc5	1.0
11	1847	881	Txndc5	1.0
11	1861	922	Txndc5	1.0
24	1631	1603	Txndc5	1.0
11	1807	985	Txndc5	1.0
26	1858	1531	Txndc5	1.0
7	1899	1269	Txndc5	1.0
11	1850	938	Txndc5	1.0
2	1683	1861	Klk1	1.0
27	1861	1590	Klk1	1.0
20	1876	1822	Slc12a2	1.0
27	1893	1563	Slc12a2	1.0
4	1910	1472	Slc12a2	1.0
20	1927	1824	Slc12a2	1.0
23	1829	1079	Slc12a2	1.0
20	1856	1780	Slc12a2	1.0
20	1861	1865	Slc12a2	1.0
20	1898	1788	Slc12a2	1.0
4	1939	1467	Slc12a2	1.0
2	1711	1863	Slc12a2	1.0
22	1818	1670	Slc12a2	1.0
20	1837	1786	Slc12a2	1.0
20	1844	1791	Slc12a2	1.0
20	1898	1786	Slc12a2	1.0
4	1899	1437	Slc12a2	1.0
20	1902	1849	Slc12a2	1.0
2	1733	1816	Slc12a2	1.0
20	1811	1812	Slc12a2	1.0
20	1835	1811	Slc12a2	1.0
11	1861	920	Slc12a2	1.0
22	1880	1613	Slc12a2	1.0
2	1734	1813	Slc12a2	1.0
11	1807	965	Slc12a2	1.0
20	1845	1852	Slc12a2	1.0
7	1894	1305	Slc12a2	1.0
29	1707	1929	Avil	1.0
29	1716	1930	Avil	1.0
2	1743	1902	Avil	1.0
2	1765	1861	Avil	1.0
2	1717	1901	Avil	1.0
2	1724	1904	Avil	1.0
2	1726	1912	Avil	1.0
2	1740	1889	Avil	1.0
29	1751	1939	Avil	1.0
2	1772	1872	Avil	1.0
2	1759	1872	Avil	1.0
29	1770	1931	Avil	1.0
20	1839	1841	Avil	1.0
29	1720	1931	Avil	1.0
2	1724	1914	Avil	1.0
2	1733	1889	Avil	1.0
2	1740	1892	Avil	1.0
2	1745	1906	Avil	1.0
2	1780	1839	Avil	1.0
2	1736	1881	Avil	1.0
2	1771	1869	Avil	1.0
2	1778	1868	Avil	1.0
29	1742	1937	Avil	1.0
2	1743	1928	Avil	1.0
29	1741	1937	Avil	1.0
29	1741	1938	Avil	1.0
2	1754	1803	Trpm5	1.0
29	1712	1924	Tm4sf4	1.0
2	1733	1840	Tm4sf4	1.0
2	1715	1856	Tm4sf4	1.0
2	1751	1831	Tm4sf4	1.0
2	1766	1818	Tm4sf4	1.0
2	1714	1863	Tm4sf4	1.0
17	1528	1622	Krt7	1.0
30	1845	849	Krt7	1.0
15	1523	1748	Krt7	1.0
17	1519	1627	Krt7	1.0
15	1565	1807	Krt7	1.0
24	1654	1476	Krt7	1.0
17	1521	1666	Krt7	1.0
17	1520	1690	Krt7	1.0
5	1802	1001	Krt7	1.0
11	1828	937	Krt7	1.0
11	1828	938	Krt7	1.0
11	1845	916	Krt7	1.0
24	1659	1596	Tspan13	1.0
24	1663	1624	Tspan13	1.0
24	1673	1458	Tspan13	1.0
21	1728	1351	Tspan13	1.0
2	1800	1860	Tspan13	1.0
11	1852	1004	Tspan13	1.0
15	1584	1780	Tspan13	1.0
31	1652	1638	Tspan13	1.0
2	1755	1858	Tspan13	1.0
22	1876	1697	Tspan13	1.0
9	1646	1899	Tspan13	1.0
11	1786	987	Tspan13	1.0
6	1812	1249	Tspan13	1.0
20	1811	1839	Tspan13	1.0
11	1827	903	Tspan13	1.0
33	1941	703	Tspan13	1.0
17	1514	1678	Tspan13	1.0
15	1536	1722	Tspan13	1.0
15	1542	1802	Tspan13	1.0
15	1573	1780	Tspan13	1.0
24	1589	1591	Tspan13	1.0
2	1727	1923	Tspan13	1.0
11	1851	997	Tspan13	1.0
5	1860	1020	Tspan13	1.0
12	1940	1159	Tspan13	1.0
24	1586	1595	Tspan13	1.0
24	1632	1518	Tspan13	1.0
24	1689	1564	Tspan13	1.0
2	1749	1858	Tspan13	1.0
6	1831	1216	Tspan13	1.0
15	1543	1757	Tspan13	1.0
7	1857	1306	Tspan13	1.0
23	1884	1062	Tspan13	2.0
31	1682	1649	Tspan13	1.0
21	1724	1399	Tspan13	1.0
26	1842	1524	Tspan13	1.0
23	1884	1062	Tspan13	2.0
26	1837	1508	Tspan13	1.0
2	1786	1875	Rcor2	1.0
21	1733	1365	Sox4	1.0
2	1776	1882	Sox4	1.0
2	1797	1856	Sox4	1.0
